customer_id,home_store,gender,customer_first-name,birthdate,customer_email,customer_since,loyalty_card_number
1,3,M,Kelly Key,5/29/1950,Venus@adipiscing.edu,1/4/2017,908-424-2890
2,3,M,Clark Schroeder,7/30/1950,Nora@fames.gov,1/7/2017,032-732-6308
3,3,M,Elvis Cardenas,9/30/1950,Brianna@tellus.edu,1/10/2017,459-375-9187
4,3,M,Rafael Estes,12/1/1950,Ina@non.gov,1/13/2017,576-640-9226
5,3,M,Colin Lynn,2/1/1951,Dale@Integer.com,1/15/2017,344-674-6569
6,3,M,Igor Beach,4/4/1951,Caleb@morbi.net,1/18/2017,114-126-1992
7,3,M,Scott Holden,6/5/1951,Yen@Integer.edu,1/21/2017,384-074-3606
8,3,M,Keegan Ayala,8/7/1951,Tana@sociis.com,1/24/2017,257-308-7675
9,3,M,Amir Byers,10/8/1951,Madeson@malesuada.us,1/26/2017,931-925-0273
10,3,M,Magee Malone,12/9/1951,Anjolie@sapien.gov,1/29/2017,359-150-6747
11,3,M,Dolan Petty,2/9/1952,Kim@convallis.edu,2/1/2017,547-881-4488
12,3,M,Wang Hebert,4/11/1952,Hollee@lorem.net,2/4/2017,605-014-6218
13,3,M,Wayne David,6/12/1952,Slade@sapien.edu,2/6/2017,430-935-8698
14,3,M,Colin Fernandez,8/13/1952,Thaddeus@non.com,2/9/2017,703-178-5883
15,3,M,Holmes Blankenship,10/15/1952,Marvin@accumsan.us,2/12/2017,959-439-4036
16,3,M,Ali French,12/16/1952,Uriah@magnis.org,2/15/2017,169-057-5893
17,3,M,Josiah Burton,2/16/1953,Sacha@Nullam.edu,2/17/2017,373-811-5424
18,3,M,Drew Skinner,4/19/1953,Rashad@faucibus.net,2/20/2017,981-655-9539
19,3,M,Henry Wilcox,6/20/1953,Dexter@nisl.gov,2/23/2017,833-172-4578
20,3,M,Nathan Riggs,8/21/1953,Iris@aptent.com,2/26/2017,639-354-7929
21,3,M,Mufutau Rosa,10/22/1953,Haviva@inceptos.gov,2/28/2017,097-053-2704
22,3,M,Channing Larson,12/23/1953,Marny@dis.edu,3/3/2017,238-527-1012
23,3,M,Raphael Watkins,2/24/1954,Libby@libero.com,3/6/2017,865-048-2894
24,3,M,Avram Cooper,4/27/1954,Sandra@adipiscing.org,3/9/2017,411-854-0502
25,3,M,Drake Valentine,6/28/1954,Lewis@eget.edu,3/11/2017,160-817-8375
26,3,M,Samuel Gallagher,8/29/1954,Paloma@ornare.org,3/14/2017,237-244-8752
27,3,M,Adrian Carlson,10/30/1954,Orlando@mattis.org,3/17/2017,975-791-8098
28,3,M,Harding Jarvis,12/31/1954,Cathleen@molestie.org,3/20/2017,423-612-1809
29,3,M,Jackson Buckley,3/3/1955,Phelan@nec.us,3/22/2017,957-710-5308
30,3,M,Wing Bush,5/5/1955,Lee@eget.us,3/25/2017,507-966-0978
31,3,M,Hedley Dorsey,7/6/1955,Paki@amet.us,3/28/2017,295-623-3357
32,3,M,Griffith Lindsay,9/6/1955,Magee@ultricies.gov,3/31/2017,769-005-9211
33,3,M,Mason Stout,11/7/1955,Dennis@vestibulum.us,4/2/2017,030-445-7648
34,3,M,Murphy Mckee,1/8/1956,Hunter@Ut.edu,4/5/2017,264-090-3648
35,3,M,Colton Ford,3/10/1956,Amena@vestibulum.org,4/8/2017,671-939-9911
36,3,M,Beck Pearson,5/11/1956,Leila@penatibus.com,4/11/2017,845-486-0693
37,3,M,Noble Christensen,7/12/1956,Nolan@varius.edu,4/13/2017,758-964-2500
38,3,M,Xanthus Puckett,9/13/1956,Kylynn@aliquam.gov,4/16/2017,436-942-8673
39,3,M,Hakeem Bowers,11/14/1956,Caldwell@placerat.net,4/19/2017,913-873-5817
40,3,M,Lucas Copeland,1/15/1957,Emi@venenatis.edu,4/22/2017,180-267-4872
41,3,M,Harrison Cash,3/18/1957,Uriel@imperdiet.us,4/25/2017,094-153-0253
42,3,M,Todd Mckay,5/19/1957,Colin@Sed.edu,4/27/2017,679-008-0050
43,3,M,Caldwell Rosales,7/20/1957,Julie@nulla.edu,4/30/2017,357-852-2866
44,3,M,Ciaran Owens,9/20/1957,Samantha@taciti.edu,5/3/2017,979-597-2939
45,3,M,Harper Figueroa,11/22/1957,Tashya@arcu.us,5/6/2017,203-603-4571
46,3,M,Zephania Yates,1/23/1958,Duncan@et.net,5/8/2017,029-550-1237
47,3,M,Caleb Miranda,3/26/1958,John@a.org,5/11/2017,807-423-0633
48,3,M,Simon Armstrong,5/27/1958,Bertha@fringilla.com,5/14/2017,654-978-8530
49,3,M,Dale Holmes,7/28/1958,Alfonso@lacus.com,5/17/2017,424-044-2556
50,3,M,Elton Lester,9/28/1958,Colt@nunc.org,5/19/2017,017-112-7662
51,3,M,Valentine Joseph,11/29/1958,Reese@dictum.edu,5/22/2017,805-407-8672
52,3,M,Drake Ochoa,1/30/1959,Melinda@fermentum.gov,5/25/2017,710-304-2797
53,3,M,Robert Salas,4/3/1959,Janna@convallis.edu,5/28/2017,787-654-2964
54,3,M,Ferris Kidd,6/4/1959,Lysandra@adipiscing.gov,5/30/2017,383-139-9577
55,3,M,Justin Hart,8/5/1959,Brynn@pede.org,6/2/2017,119-751-3976
56,3,M,Reed Holman,10/6/1959,Karen@sociis.net,6/5/2017,199-920-1769
57,3,M,Kuame Cantu,12/7/1959,Hedy@lacinia.edu,6/8/2017,256-419-8919
58,3,M,Adrian Carson,2/7/1960,Stacy@tempus.net,6/10/2017,703-777-1632
59,3,M,Peter Hernandez,4/9/1960,Georgia@Nulla.com,6/13/2017,983-004-2955
60,3,M,Raymond Forbes,6/11/1960,Phelan@sed.edu,6/16/2017,524-730-2862
61,3,M,Tate Solis,8/12/1960,Davis@fermentum.us,6/19/2017,752-217-2232
62,3,M,Valentine Butler,10/13/1960,Brady@tellus.net,6/21/2017,703-338-1357
63,3,M,Lamar Chen,12/14/1960,Preston@penatibus.edu,6/24/2017,403-049-6981
64,3,M,Macon Rush,2/14/1961,Adrienne@Cras.org,6/27/2017,104-937-1984
65,3,M,Luke Beasley,4/17/1961,Mufutau@elit.gov,6/30/2017,310-387-3534
66,3,M,Armando Faulkner,6/18/1961,Amal@sociis.com,7/2/2017,309-219-0012
67,3,M,Barclay Clarke,8/19/1961,Conan@ullamcorper.net,7/5/2017,511-786-9310
68,3,M,Tanek Craig,10/21/1961,Rebekah@ullamcorper.gov,7/8/2017,399-348-1631
69,3,M,Caesar Estes,12/22/1961,Chantale@massa.com,7/11/2017,463-990-0451
